2026-06-12T10:47:32.396028924Z time="2026-06-12T10:47:32Z" level=info msg="Starting harvester-network-controller version v1.8.1-rc1"
2026-06-12T10:47:32.396060525Z time="2026-06-12T10:47:32Z" level=info msg="Set log level to info"
2026-06-12T10:47:32.396071681Z time="2026-06-12T10:47:32Z" level=info msg="namespace harvester-system threadiness 2 nodeName hp-150-tink-system helper-image rancher/harvester-network-helper:master-head"
2026-06-12T10:47:32.396294736Z W0612 10:47:32.396240       1 client_config.go:667] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2026-06-12T10:47:38.396052665Z time="2026-06-12T10:47:38Z" level=info msg="Do not update the existing CRD NetworkAttachmentDefinition"
2026-06-12T10:47:42.137331430Z time="2026-06-12T10:47:42Z" level=info msg="Start link monitor"
2026-06-12T10:47:42.593510769Z time="2026-06-12T10:47:42Z" level=info msg="Starting network.harvesterhci.io/v1beta1, Kind=VlanStatus controller"
2026-06-12T10:47:42.593540241Z time="2026-06-12T10:47:42Z" level=info msg="Starting network.harvesterhci.io/v1beta1, Kind=ClusterNetwork controller"
2026-06-12T10:47:42.593555496Z time="2026-06-12T10:47:42Z" level=info msg="cluster network mgmt has been changed, vid hash: "
2026-06-12T10:47:42.594308364Z time="2026-06-12T10:47:42Z" level=info msg="cluster network mgmt will add 0 vlans, remove 0 vlans"
2026-06-12T10:47:42.594320912Z time="2026-06-12T10:47:42Z" level=info msg="Starting network.harvesterhci.io/v1beta1, Kind=HostNetworkConfig controller"
2026-06-12T10:47:42.594328154Z time="2026-06-12T10:47:42Z" level=info msg="Starting /v1, Kind=Node controller"
2026-06-12T10:47:42.594380784Z time="2026-06-12T10:47:42Z" level=info msg="Starting k8s.cni.cncf.io/v1, Kind=NetworkAttachmentDefinition controller"
2026-06-12T10:47:42.594443948Z time="2026-06-12T10:47:42Z" level=info msg="Starting network.harvesterhci.io/v1beta1, Kind=LinkMonitor controller"
2026-06-12T10:47:42.594495406Z time="2026-06-12T10:47:42Z" level=info msg="link monitor mgmt has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:mgmt(-br|-bo)}}"
2026-06-12T10:47:42.594929279Z time="2026-06-12T10:47:42Z" level=info msg="Starting network.harvesterhci.io/v1beta1, Kind=VlanConfig controller"
2026-06-12T10:47:42.594960554Z time="2026-06-12T10:47:42Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T10:47:42.602106370Z time="2026-06-12T10:47:42Z" level=info msg="link monitor mgmt has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:mgmt(-br|-bo)}}"
2026-06-12T10:47:42.701495808Z time="2026-06-12T10:47:42Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T10:47:54.690765763Z time="2026-06-12T10:47:54Z" level=info msg="link monitor mgmt has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:mgmt(-br|-bo)}}"
2026-06-12T10:47:54.690809052Z time="2026-06-12T10:47:54Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T11:08:07.925529910Z time="2026-06-12T11:08:07Z" level=info msg="cluster network mgmt has been changed, vid hash: b090147020e033534635010c4f7eb6fc270d44e5df67ea9e744a8087df9ca106"
2026-06-12T11:08:07.926465287Z time="2026-06-12T11:08:07Z" level=info msg="cluster network mgmt will add 0 vlans, remove 0 vlans"
2026-06-12T11:21:24.520776982Z time="2026-06-12T11:21:24Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: "
2026-06-12T11:21:24.520926260Z time="2026-06-12T11:21:24Z" level=info msg="cluster network cnet-111938 is not set on this node, skip"
2026-06-12T11:21:24.540245633Z time="2026-06-12T11:21:24Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: "
2026-06-12T11:21:24.540327013Z time="2026-06-12T11:21:24Z" level=info msg="cluster network cnet-111938 is not set on this node, skip"
2026-06-12T11:21:24.545268797Z time="2026-06-12T11:21:24Z" level=info msg="vlan config hp-69-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-69-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x371dbc819260 BondOptions:0x371dc38768e8}}"
2026-06-12T11:21:24.559807559Z time="2026-06-12T11:21:24Z" level=info msg="cluster network cnet-111938 has been changed, vid hash: "
2026-06-12T11:21:24.559896483Z time="2026-06-12T11:21:24Z" level=info msg="cluster network cnet-111938 is not set on this node, skip"
2026-06-12T11:21:24.587082881Z time="2026-06-12T11:21:24Z" level=info msg="vlan config hp-117-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-117-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x371dc37b2f60 BondOptions:0x371dc315a510}}"
2026-06-12T11:21:24.589411535Z time="2026-06-12T11:21:24Z" level=info msg="vlan config hp-69-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-69-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x371dbc7aa630 BondOptions:0x371dc3876e70}}"
2026-06-12T11:21:24.594695953Z time="2026-06-12T11:21:24Z" level=info msg="vlan config hp-69-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-69-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x371dbc7aa630 BondOptions:0x371dc3876e70}}"
2026-06-12T11:21:24.596002751Z time="2026-06-12T11:21:24Z" level=info msg="vlan config hp-117-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-117-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x371dbc7aa810 BondOptions:0x371dc3876f48}}"
2026-06-12T11:21:24.644140793Z time="2026-06-12T11:21:24Z" level=info msg="vlan config hp-69-tink-system has been changed, spec: {Description: ClusterNetwork:cnet-111938 NodeSelector:map[kubernetes.io/hostname:hp-69-tink-system] Uplink:{NICs:[eno50] LinkAttrs:0x371dc18e29f0 BondOptions:0x371dc315a978}}"
