2026-06-12T10:42:44.783229679Z time="2026-06-12T10:42:44Z" level=info msg="Starting harvester-network-controller version v1.8.1-rc1"
2026-06-12T10:42:44.784097433Z time="2026-06-12T10:42:44Z" level=info msg="Set log level to info"
2026-06-12T10:42:44.784119552Z time="2026-06-12T10:42:44Z" level=info msg="namespace harvester-system threadiness 2 nodeName hp-117-tink-system helper-image rancher/harvester-network-helper:master-head"
2026-06-12T10:42:44.784128931Z W0612 10:42:44.783473       1 client_config.go:667] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2026-06-12T10:42:50.785849881Z time="2026-06-12T10:42:50Z" level=info msg="Do not update the existing CRD NetworkAttachmentDefinition"
2026-06-12T10:42:53.978466619Z time="2026-06-12T10:42:53Z" level=info msg="Start link monitor"
2026-06-12T10:42:54.383943112Z time="2026-06-12T10:42:54Z" level=info msg="Starting network.harvesterhci.io/v1beta1, Kind=ClusterNetwork controller"
2026-06-12T10:42:54.383965935Z time="2026-06-12T10:42:54Z" level=info msg="Starting /v1, Kind=Node controller"
2026-06-12T10:42:54.383970427Z time="2026-06-12T10:42:54Z" level=info msg="Starting k8s.cni.cncf.io/v1, Kind=NetworkAttachmentDefinition controller"
2026-06-12T10:42:54.383986170Z time="2026-06-12T10:42:54Z" level=info msg="Starting network.harvesterhci.io/v1beta1, Kind=HostNetworkConfig controller"
2026-06-12T10:42:54.383998558Z time="2026-06-12T10:42:54Z" level=info msg="Starting network.harvesterhci.io/v1beta1, Kind=VlanConfig controller"
2026-06-12T10:42:54.384039470Z time="2026-06-12T10:42:54Z" level=info msg="Starting network.harvesterhci.io/v1beta1, Kind=LinkMonitor controller"
2026-06-12T10:42:54.384086981Z time="2026-06-12T10:42:54Z" level=info msg="Starting network.harvesterhci.io/v1beta1, Kind=VlanStatus controller"
2026-06-12T10:42:54.651443621Z time="2026-06-12T10:42:54Z" level=info msg="cluster network mgmt has been changed, vid hash: "
2026-06-12T10:42:54.653128164Z time="2026-06-12T10:42:54Z" level=info msg="cluster network mgmt will add 0 vlans, remove 0 vlans"
2026-06-12T10:42:54.656328887Z time="2026-06-12T10:42:54Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T10:42:54.669672930Z time="2026-06-12T10:42:54Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T10:42:54.677464649Z time="2026-06-12T10:42:54Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T10:42:54.685150663Z time="2026-06-12T10:42:54Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T10:42:54.690931639Z time="2026-06-12T10:42:54Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
2026-06-12T10:42:55.258960336Z time="2026-06-12T10:42:55Z" level=info msg="link monitor mgmt has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:mgmt(-br|-bo)}}"
2026-06-12T10:42:55.268937830Z time="2026-06-12T10:42:55Z" level=info msg="link monitor mgmt has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:mgmt(-br|-bo)}}"
2026-06-12T10:42:55.280509053Z time="2026-06-12T10:42:55Z" level=info msg="link monitor mgmt has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:mgmt(-br|-bo)}}"
2026-06-12T10:42:55.652400187Z time="2026-06-12T10:42:55Z" level=info msg="cluster network mgmt has been changed, vid hash: "
2026-06-12T10:42:55.654038232Z time="2026-06-12T10:42:55Z" level=info msg="cluster network mgmt will add 0 vlans, remove 0 vlans"
2026-06-12T10:47:42.592322208Z time="2026-06-12T10:47:42Z" level=info msg="link monitor mgmt has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule: NameRule:mgmt(-br|-bo)}}"
2026-06-12T10:47:42.691239881Z time="2026-06-12T10:47:42Z" level=info msg="link monitor nic has been changed, spec: {NodeSelector:map[] TargetLinkRule:{TypeRule:device NameRule:}}"
