2026-06-12T14:31:30.101493245Z Start update cpu-manager-policy option...
2026-06-12T14:31:30.228172231Z Stopping rke2-server.
2026-06-12T14:31:33.001299273Z Stopped rke2-server.
2026-06-12T14:31:33.001318689Z File /host/var/lib/kubelet/cpu_manager_state has been renamed to /host/var/lib/kubelet/cpu_manager_state.old
2026-06-12T14:31:33.001326167Z Starting rke2-server.
2026-06-12T14:31:53.768653691Z Started rke2-server.
2026-06-12T14:31:53.900615654Z Value in label cpumanager is not true, wait 5s...
2026-06-12T14:31:59.014888687Z Value in label cpumanager is not true, wait 5s...
2026-06-12T14:32:04.137719442Z Value in label cpumanager is not true, wait 5s...
2026-06-12T14:32:09.252595198Z Value in label cpumanager is not true, wait 5s...
2026-06-12T14:32:14.364036239Z Value in label cpumanager is not true, wait 5s...
2026-06-12T14:32:19.480977549Z Value in label cpumanager is not true, wait 5s...
2026-06-12T14:32:24.596174886Z Value in label cpumanager is not true, wait 5s...
2026-06-12T14:32:29.728328181Z Value in label cpumanager is not true, wait 5s...
2026-06-12T14:32:34.837363187Z Value in label cpumanager is not true, wait 5s...
2026-06-12T14:32:39.958019585Z Value in label cpumanager is not true, wait 5s...
2026-06-12T14:32:45.076503703Z Value in label cpumanager is not true, wait 5s...
2026-06-12T14:32:50.192870921Z Value in label cpumanager is not true, wait 5s...
2026-06-12T14:32:55.316206452Z Value in label cpumanager is not true, wait 5s...
2026-06-12T14:33:00.440675952Z Value in label cpumanager is not true, wait 5s...
2026-06-12T14:33:05.552538195Z Value in label cpumanager is not true, wait 5s...
2026-06-12T14:33:10.672392254Z Value in label cpumanager is not true, wait 5s...
2026-06-12T14:33:15.787283010Z Value in label cpumanager is not true, wait 5s...
2026-06-12T14:33:20.914103889Z Value in label cpumanager is not true, wait 5s...
2026-06-12T14:33:26.028903555Z Value in label cpumanager is not true, wait 5s...
2026-06-12T14:33:31.151880424Z Value in label cpumanager is not true, wait 5s...
2026-06-12T14:33:36.270249029Z Value in label cpumanager is not true, wait 5s...
2026-06-12T14:33:41.389897956Z End update cpu-manager-policy
