2026-06-12T10:42:46.372859320Z I0612 10:42:46.372587       1 feature_gate.go:466] feature gates: {map[]}
2026-06-12T10:42:46.372897201Z I0612 10:42:46.372767       1 main.go:182] "Version" version="v8.5.0"
2026-06-12T10:42:46.373148680Z I0612 10:42:46.373087       1 envvar.go:172] "Feature gate default state" feature="InOrderInformersBatchProcess" enabled=true
2026-06-12T10:42:46.373155551Z I0612 10:42:46.373117       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=true
2026-06-12T10:42:46.373217464Z I0612 10:42:46.373125       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=true
2026-06-12T10:42:46.373222644Z I0612 10:42:46.373132       1 envvar.go:172] "Feature gate default state" feature="ClientsAllowCBOR" enabled=false
2026-06-12T10:42:46.373225283Z I0612 10:42:46.373140       1 envvar.go:172] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
2026-06-12T10:42:46.373227735Z I0612 10:42:46.373146       1 envvar.go:172] "Feature gate default state" feature="InOrderInformers" enabled=true
2026-06-12T10:42:46.374717112Z I0612 10:42:46.374629       1 main.go:233] Start NewCSISnapshotController with kubeconfig [] resyncPeriod [15m0s]
2026-06-12T10:42:46.386664905Z I0612 10:42:46.386530       1 leaderelection.go:258] "Attempting to acquire leader lease..." lock="kube-system/snapshot-controller-leader"
2026-06-12T10:42:46.396342158Z E0612 10:42:46.396222       1 leaderelection.go:456] "Error initially creating lease lock" err="leases.coordination.k8s.io \"snapshot-controller-leader\" already exists" lock="kube-system/snapshot-controller-leader"
2026-06-12T10:42:46.396361030Z I0612 10:42:46.396245       1 leaderelection.go:267] "Failed to acquire lease" lock="kube-system/snapshot-controller-leader"
2026-06-12T10:42:52.625665004Z I0612 10:42:52.625550       1 leaderelection.go:472] "Lease is held by and has not yet expired" lock="kube-system/snapshot-controller-leader" holder="snapshot-controller-b996f9ff4-zc2z7"
2026-06-12T10:42:52.625691315Z I0612 10:42:52.625583       1 leaderelection.go:267] "Failed to acquire lease" lock="kube-system/snapshot-controller-leader"
2026-06-12T10:42:52.625705863Z I0612 10:42:52.625620       1 leader_election.go:210] "New leader detected" leader="snapshot-controller-b996f9ff4-zc2z7"
2026-06-12T10:43:03.237251803Z I0612 10:43:03.237092       1 leaderelection.go:472] "Lease is held by and has not yet expired" lock="kube-system/snapshot-controller-leader" holder="snapshot-controller-b996f9ff4-zc2z7"
2026-06-12T10:43:03.237275917Z I0612 10:43:03.237123       1 leaderelection.go:267] "Failed to acquire lease" lock="kube-system/snapshot-controller-leader"
2026-06-12T10:43:11.294323547Z I0612 10:43:11.294219       1 leaderelection.go:472] "Lease is held by and has not yet expired" lock="kube-system/snapshot-controller-leader" holder="snapshot-controller-b996f9ff4-zc2z7"
2026-06-12T10:43:11.294347058Z I0612 10:43:11.294243       1 leaderelection.go:267] "Failed to acquire lease" lock="kube-system/snapshot-controller-leader"
2026-06-12T10:43:20.618052907Z I0612 10:43:20.617979       1 leaderelection.go:472] "Lease is held by and has not yet expired" lock="kube-system/snapshot-controller-leader" holder="snapshot-controller-b996f9ff4-zc2z7"
2026-06-12T10:43:20.618076959Z I0612 10:43:20.618006       1 leaderelection.go:267] "Failed to acquire lease" lock="kube-system/snapshot-controller-leader"
2026-06-12T10:43:28.449410321Z I0612 10:43:28.449267       1 leaderelection.go:472] "Lease is held by and has not yet expired" lock="kube-system/snapshot-controller-leader" holder="snapshot-controller-b996f9ff4-zc2z7"
2026-06-12T10:43:28.449432939Z I0612 10:43:28.449288       1 leaderelection.go:267] "Failed to acquire lease" lock="kube-system/snapshot-controller-leader"
2026-06-12T10:43:37.914637356Z I0612 10:43:37.914479       1 leaderelection.go:472] "Lease is held by and has not yet expired" lock="kube-system/snapshot-controller-leader" holder="snapshot-controller-b996f9ff4-zc2z7"
2026-06-12T10:43:37.914683935Z I0612 10:43:37.914501       1 leaderelection.go:267] "Failed to acquire lease" lock="kube-system/snapshot-controller-leader"
2026-06-12T10:43:47.986819754Z I0612 10:43:47.986705       1 leaderelection.go:472] "Lease is held by and has not yet expired" lock="kube-system/snapshot-controller-leader" holder="snapshot-controller-b996f9ff4-zc2z7"
2026-06-12T10:43:47.986844482Z I0612 10:43:47.986729       1 leaderelection.go:267] "Failed to acquire lease" lock="kube-system/snapshot-controller-leader"
2026-06-12T10:43:53.354847900Z I0612 10:43:53.354736       1 leaderelection.go:472] "Lease is held by and has not yet expired" lock="kube-system/snapshot-controller-leader" holder="snapshot-controller-b996f9ff4-zc2z7"
2026-06-12T10:43:53.354872836Z I0612 10:43:53.354760       1 leaderelection.go:267] "Failed to acquire lease" lock="kube-system/snapshot-controller-leader"
2026-06-12T10:44:02.684799467Z I0612 10:44:02.684687       1 leaderelection.go:472] "Lease is held by and has not yet expired" lock="kube-system/snapshot-controller-leader" holder="snapshot-controller-b996f9ff4-zc2z7"
2026-06-12T10:44:02.684825521Z I0612 10:44:02.684710       1 leaderelection.go:267] "Failed to acquire lease" lock="kube-system/snapshot-controller-leader"
2026-06-12T10:44:13.258022396Z I0612 10:44:13.257907       1 leaderelection.go:472] "Lease is held by and has not yet expired" lock="kube-system/snapshot-controller-leader" holder="snapshot-controller-b996f9ff4-zc2z7"
2026-06-12T10:44:13.258055850Z I0612 10:44:13.257932       1 leaderelection.go:267] "Failed to acquire lease" lock="kube-system/snapshot-controller-leader"
2026-06-12T10:44:19.362385915Z I0612 10:44:19.362242       1 leaderelection.go:472] "Lease is held by and has not yet expired" lock="kube-system/snapshot-controller-leader" holder="snapshot-controller-b996f9ff4-zc2z7"
2026-06-12T10:44:19.362412143Z I0612 10:44:19.362268       1 leaderelection.go:267] "Failed to acquire lease" lock="kube-system/snapshot-controller-leader"
2026-06-12T10:44:24.925140449Z I0612 10:44:24.924986       1 leaderelection.go:472] "Lease is held by and has not yet expired" lock="kube-system/snapshot-controller-leader" holder="snapshot-controller-b996f9ff4-zc2z7"
2026-06-12T10:44:24.925186368Z I0612 10:44:24.925009       1 leaderelection.go:267] "Failed to acquire lease" lock="kube-system/snapshot-controller-leader"
2026-06-12T10:44:30.215548600Z I0612 10:44:30.215404       1 leaderelection.go:472] "Lease is held by and has not yet expired" lock="kube-system/snapshot-controller-leader" holder="snapshot-controller-b996f9ff4-zc2z7"
2026-06-12T10:44:30.215575510Z I0612 10:44:30.215443       1 leaderelection.go:267] "Failed to acquire lease" lock="kube-system/snapshot-controller-leader"
2026-06-12T10:44:38.849236983Z I0612 10:44:38.849096       1 leaderelection.go:472] "Lease is held by and has not yet expired" lock="kube-system/snapshot-controller-leader" holder="snapshot-controller-b996f9ff4-zc2z7"
2026-06-12T10:44:38.849263820Z I0612 10:44:38.849120       1 leaderelection.go:267] "Failed to acquire lease" lock="kube-system/snapshot-controller-leader"
