2026-06-12T10:43:27.851830047Z I0612 10:43:27.851563       1 feature_gate.go:466] feature gates: {map[]}
2026-06-12T10:43:27.851870500Z I0612 10:43:27.851756       1 main.go:123] "Version" version="v"
2026-06-12T10:43:27.852412902Z I0612 10:43:27.852082       1 envvar.go:172] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
2026-06-12T10:43:27.852426330Z I0612 10:43:27.852111       1 envvar.go:172] "Feature gate default state" feature="InOrderInformers" enabled=true
2026-06-12T10:43:27.852429863Z I0612 10:43:27.852118       1 envvar.go:172] "Feature gate default state" feature="InOrderInformersBatchProcess" enabled=true
2026-06-12T10:43:27.852432813Z I0612 10:43:27.852126       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=true
2026-06-12T10:43:27.852437581Z I0612 10:43:27.852133       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=true
2026-06-12T10:43:27.852440760Z I0612 10:43:27.852139       1 envvar.go:172] "Feature gate default state" feature="ClientsAllowCBOR" enabled=false
2026-06-12T10:43:27.854928787Z W0612 10:43:27.854743       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/csi/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /csi/csi.sock: connect: no such file or directory"
2026-06-12T10:43:28.857367655Z I0612 10:43:28.857234       1 main.go:204] CSI driver name: "driver.longhorn.io"
2026-06-12T10:43:28.857382082Z I0612 10:43:28.857306       1 common.go:143] "Probing CSI driver for readiness"
2026-06-12T10:43:28.857423827Z I0612 10:43:28.857388       1 main.go:216] ServeMux listening at ":8000"
2026-06-12T10:43:28.858319499Z I0612 10:43:28.858219       1 main.go:248] Start NewCSISnapshotSideCarController with snapshotter [driver.longhorn.io] kubeconfig [] csiTimeout [1m50s] csiAddress [/csi/csi.sock] resyncPeriod [15m0s] snapshotNamePrefix [snapshot] snapshotNameUUIDLength [824638295096]
2026-06-12T10:43:28.858861298Z I0612 10:43:28.858815       1 leaderelection.go:258] "Attempting to acquire leader lease..." lock="longhorn-system/external-snapshotter-leader-driver-longhorn-io"
2026-06-12T10:43:28.873507004Z I0612 10:43:28.873441       1 leaderelection.go:272] "Successfully acquired lease" lock="longhorn-system/external-snapshotter-leader-driver-longhorn-io"
2026-06-12T10:43:28.873678247Z I0612 10:43:28.873619       1 leader_election.go:202] "became leader, starting"
2026-06-12T10:43:28.873794228Z I0612 10:43:28.873728       1 snapshot_controller_base.go:176] Starting CSI snapshotter
2026-06-12T10:43:28.884722483Z I0612 10:43:28.884614       1 reflector.go:446] "Caches populated" type="*v1.VolumeSnapshotContent" reflector="github.com/kubernetes-csi/external-snapshotter/client/v8/informers/externalversions/factory.go:142"
2026-06-12T10:43:28.884982902Z I0612 10:43:28.884935       1 reflector.go:446] "Caches populated" type="*v1.VolumeSnapshotClass" reflector="github.com/kubernetes-csi/external-snapshotter/client/v8/informers/externalversions/factory.go:142"
2026-06-12T11:21:13.226626006Z I0612 11:21:13.226508       1 snapshot_controller.go:339] createSnapshotWrapper: Creating snapshot for content snapcontent-ade83e90-f620-4e65-a898-b37a669eb1ef through the plugin ...
2026-06-12T11:53:18.977181076Z I0612 11:53:18.977106       1 snapshot_controller.go:339] createSnapshotWrapper: Creating snapshot for content snapcontent-c4fc856a-4afa-4405-b62d-9543959b7cee through the plugin ...
2026-06-12T11:53:46.348132316Z I0612 11:53:46.348035       1 snapshot_controller.go:339] createSnapshotWrapper: Creating snapshot for content snapcontent-400c2cb6-7c5e-4963-a612-9b4e53d48ac1 through the plugin ...
2026-06-12T13:19:20.424226715Z I0612 13:19:20.424115       1 snapshot_controller.go:339] createSnapshotWrapper: Creating snapshot for content snapcontent-07603223-c63c-44d0-b70c-bdc4929463ec through the plugin ...
2026-06-12T13:19:27.633349749Z I0612 13:19:27.633183       1 snapshot_controller.go:339] createSnapshotWrapper: Creating snapshot for content snapcontent-07603223-c63c-44d0-b70c-bdc4929463ec through the plugin ...
2026-06-12T13:19:29.661020724Z I0612 13:19:29.660846       1 snapshot_controller.go:339] createSnapshotWrapper: Creating snapshot for content snapcontent-07603223-c63c-44d0-b70c-bdc4929463ec through the plugin ...
2026-06-12T13:19:33.691318669Z I0612 13:19:33.691174       1 snapshot_controller.go:339] createSnapshotWrapper: Creating snapshot for content snapcontent-07603223-c63c-44d0-b70c-bdc4929463ec through the plugin ...
2026-06-12T13:19:41.732539208Z I0612 13:19:41.732394       1 snapshot_controller.go:339] createSnapshotWrapper: Creating snapshot for content snapcontent-07603223-c63c-44d0-b70c-bdc4929463ec through the plugin ...
2026-06-12T14:05:42.738024657Z I0612 14:05:42.737920       1 snapshot_controller.go:339] createSnapshotWrapper: Creating snapshot for content snapcontent-708246cc-6d40-4e89-83c1-56be978fcbed through the plugin ...
2026-06-12T14:05:52.037262746Z I0612 14:05:52.037130       1 snapshot_controller.go:339] createSnapshotWrapper: Creating snapshot for content snapcontent-708246cc-6d40-4e89-83c1-56be978fcbed through the plugin ...
2026-06-12T14:05:54.065036357Z I0612 14:05:54.064850       1 snapshot_controller.go:339] createSnapshotWrapper: Creating snapshot for content snapcontent-708246cc-6d40-4e89-83c1-56be978fcbed through the plugin ...
2026-06-12T14:05:58.096387598Z I0612 14:05:58.096290       1 snapshot_controller.go:339] createSnapshotWrapper: Creating snapshot for content snapcontent-708246cc-6d40-4e89-83c1-56be978fcbed through the plugin ...
2026-06-12T14:06:06.127962575Z I0612 14:06:06.127845       1 snapshot_controller.go:339] createSnapshotWrapper: Creating snapshot for content snapcontent-708246cc-6d40-4e89-83c1-56be978fcbed through the plugin ...
2026-06-12T14:06:12.391006477Z I0612 14:06:12.390933       1 snapshot_controller.go:339] createSnapshotWrapper: Creating snapshot for content snapcontent-832dd12b-8594-4cc8-b522-89958ecff641 through the plugin ...
2026-06-12T14:06:21.582155108Z I0612 14:06:21.581971       1 snapshot_controller.go:339] createSnapshotWrapper: Creating snapshot for content snapcontent-832dd12b-8594-4cc8-b522-89958ecff641 through the plugin ...
2026-06-12T14:06:29.967339385Z I0612 14:06:29.967264       1 snapshot_controller.go:339] createSnapshotWrapper: Creating snapshot for content snapcontent-3b829559-5045-4898-a34e-7da597624694 through the plugin ...
2026-06-12T14:06:37.283038415Z I0612 14:06:37.282938       1 snapshot_controller.go:339] createSnapshotWrapper: Creating snapshot for content snapcontent-3b829559-5045-4898-a34e-7da597624694 through the plugin ...
