Jun 12 10:38:01.446072 hp-117-tink-system systemd[1]: Starting Network Manager...
Jun 12 10:38:01.553789 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.5537] NetworkManager (version 1.52.0) is starting... (boot:7df4f090-c79a-4884-96a5-e9eb3cd28af2)
Jun 12 10:38:01.553810 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.5538] Read config: /etc/NetworkManager/NetworkManager.conf, /usr/lib/NetworkManager/conf.d/conncheck-SLE.conf, /run/NetworkManager/conf.d/15-carrier-timeout.conf, /etc/NetworkManager/conf.d/{harvester.conf,rke2-canal.conf}
Jun 12 10:38:01.563276 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.5632] manager[0x55914cd09830]: monitoring kernel firmware directory '/lib/firmware'.
Jun 12 10:38:01.728126 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.7281] hostname: hostname: using hostnamed
Jun 12 10:38:01.728147 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.7281] hostname: static hostname changed from (none) to "hp-117-tink-system"
Jun 12 10:38:01.728584 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.7285] dns-mgr: init: dns=default,systemd-resolved rc-manager=symlink (auto)
Jun 12 10:38:01.737912 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.7378] manager[0x55914cd09830]: rfkill: Wi-Fi hardware radio set enabled
Jun 12 10:38:01.737938 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.7379] manager[0x55914cd09830]: rfkill: WWAN hardware radio set enabled
Jun 12 10:38:01.746432 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.7464] Loaded device plugin: NMWifiFactory (/usr/lib64/NetworkManager/1.52.0/libnm-device-plugin-wifi.so)
Jun 12 10:38:01.746454 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.7464] manager: rfkill: Wi-Fi enabled by radio killswitch; enabled by state file
Jun 12 10:38:01.746522 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.7465] manager: rfkill: WWAN enabled by radio killswitch; enabled by state file
Jun 12 10:38:01.746568 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.7465] manager: Networking is enabled by state file
Jun 12 10:38:01.746931 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.7469] settings: Loaded settings plugin: keyfile (internal)
Jun 12 10:38:01.750669 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.7506] dhcp: init: Using DHCP client 'internal'
Jun 12 10:38:01.750928 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.7509] manager: (lo): new Loopback device (/org/freedesktop/NetworkManager/Devices/1)
Jun 12 10:38:01.752195 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.7521] device (lo): state change: unmanaged -> unavailable (reason 'connection-assumed', managed-type: 'external')
Jun 12 10:38:01.752653 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.7526] device (lo): state change: unavailable -> disconnected (reason 'connection-assumed', managed-type: 'external')
Jun 12 10:38:01.753396 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.7533] device (lo): Activation: starting connection 'lo' (a36f950f-a93a-4702-9df7-7957c5a73915)
Jun 12 10:38:01.754338 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.7543] manager: (eno1): new Ethernet device (/org/freedesktop/NetworkManager/Devices/2)
Jun 12 10:38:01.754635 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.7546] device (eno1): state change: unmanaged -> unavailable (reason 'managed', managed-type: 'external')
Jun 12 10:38:01.876893 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.8768] manager: (eno2): new Ethernet device (/org/freedesktop/NetworkManager/Devices/3)
Jun 12 10:38:01.877164 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.8771] device (eno2): state change: unmanaged -> unavailable (reason 'managed', managed-type: 'external')
Jun 12 10:38:01.994721 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.9947] manager: (eno3): new Ethernet device (/org/freedesktop/NetworkManager/Devices/4)
Jun 12 10:38:01.995023 hp-117-tink-system NetworkManager[2229]: <info>  [1781260681.9950] device (eno3): state change: unmanaged -> unavailable (reason 'managed', managed-type: 'external')
Jun 12 10:38:02.123949 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.1239] manager: (eno4): new Ethernet device (/org/freedesktop/NetworkManager/Devices/5)
Jun 12 10:38:02.124472 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.1244] device (eno4): state change: unmanaged -> unavailable (reason 'managed', managed-type: 'external')
Jun 12 10:38:02.249174 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.2491] manager: (eno50): new Ethernet device (/org/freedesktop/NetworkManager/Devices/6)
Jun 12 10:38:02.249505 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.2494] device (eno50): state change: unmanaged -> unavailable (reason 'managed', managed-type: 'external')
Jun 12 10:38:02.468426 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.4683] manager: (netboot): new Ethernet device (/org/freedesktop/NetworkManager/Devices/7)
Jun 12 10:38:02.469055 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.4690] device (netboot): state change: unmanaged -> unavailable (reason 'managed', managed-type: 'external')
Jun 12 10:38:02.713347 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.7133] manager: (mgmt-bo): new Bond device (/org/freedesktop/NetworkManager/Devices/8)
Jun 12 10:38:02.739333 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.7393] device (mgmt-bo): state change: unmanaged -> unavailable (reason 'managed', managed-type: 'external')
Jun 12 10:38:02.741056 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.7410] manager: (mgmt-br): new Bridge device (/org/freedesktop/NetworkManager/Devices/9)
Jun 12 10:38:02.786464 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.7864] device (mgmt-br): state change: unmanaged -> unavailable (reason 'managed', managed-type: 'external')
Jun 12 10:38:02.787494 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.7874] manager: (mgmt-br.2021): new VLAN device (/org/freedesktop/NetworkManager/Devices/10)
Jun 12 10:38:02.788770 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.7887] device (mgmt-br.2021): state change: unmanaged -> unavailable (reason 'managed', managed-type: 'external')
Jun 12 10:38:02.790211 hp-117-tink-system systemd[1]: Started Network Manager.
Jun 12 10:38:02.790282 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.7902] bus-manager: acquired D-Bus service "org.freedesktop.NetworkManager"
Jun 12 10:38:02.790985 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.7909] device (lo): state change: disconnected -> prepare (reason 'none', managed-type: 'external')
Jun 12 10:38:02.791219 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.7912] device (lo): state change: prepare -> config (reason 'none', managed-type: 'external')
Jun 12 10:38:02.791390 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.7913] device (lo): state change: config -> ip-config (reason 'none', managed-type: 'external')
Jun 12 10:38:02.792992 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.7929] device (lo): state change: ip-config -> ip-check (reason 'none', managed-type: 'external')
Jun 12 10:38:02.795663 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.7956] device (eno1): state change: unavailable -> disconnected (reason 'none', managed-type: 'full')
Jun 12 10:38:02.796086 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.7960] device (eno2): state change: unavailable -> disconnected (reason 'none', managed-type: 'full')
Jun 12 10:38:02.796695 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.7966] device (eno3): state change: unavailable -> disconnected (reason 'none', managed-type: 'full')
Jun 12 10:38:02.797065 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.7970] device (eno4): state change: unavailable -> disconnected (reason 'none', managed-type: 'full')
Jun 12 10:38:02.797439 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.7974] device (eno50): state change: unavailable -> disconnected (reason 'none', managed-type: 'full')
Jun 12 10:38:02.797818 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.7978] device (netboot): state change: unavailable -> disconnected (reason 'none', managed-type: 'full')
Jun 12 10:38:02.798256 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.7982] device (mgmt-bo): state change: unavailable -> disconnected (reason 'none', managed-type: 'full')
Jun 12 10:38:02.798680 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.7986] device (mgmt-br.2021): state change: unavailable -> disconnected (reason 'none', managed-type: 'full')
Jun 12 10:38:02.799110 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.7990] device (mgmt-br): state change: unavailable -> disconnected (reason 'none', managed-type: 'full')
Jun 12 10:38:02.799933 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.7999] policy: auto-activating connection 'bond-slave-netboot' (cc17fe7f-360b-3249-b574-4cdc3ca0887f)
Jun 12 10:38:02.800065 hp-117-tink-system NetworkManager[2229]: <info>  [1781260682.8000] policy: auto-activating connection 'bond-mgmt' (48589773-cb7d-38c5-b579-7dd119af73b6)
