REF                                                                                                                                               TYPE                                                      DIGEST                                                                  SIZE      PLATFORMS                                                                    LABELS                                                                                       
docker.io/kubeovn/kube-ovn:v1.15.4                                                                                                                application/vnd.oci.image.manifest.v1+json                sha256:9a84ace3863c89383a0cf86c71bff07b99a75e98443a5fb3b24013aa351cdcdd 695.8 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/kubeovn/kube-ovn@sha256:9a84ace3863c89383a0cf86c71bff07b99a75e98443a5fb3b24013aa351cdcdd                                                application/vnd.oci.image.manifest.v1+json                sha256:9a84ace3863c89383a0cf86c71bff07b99a75e98443a5fb3b24013aa351cdcdd 695.8 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/longhornio/backing-image-manager:v1.11.2                                                                                                application/vnd.oci.image.manifest.v1+json                sha256:df5d185f12683bd2f4effac6d96f6d60ebf4696b277ae4c0f59abbc5a1672b90 392.5 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/longhornio/backing-image-manager@sha256:df5d185f12683bd2f4effac6d96f6d60ebf4696b277ae4c0f59abbc5a1672b90                                application/vnd.oci.image.manifest.v1+json                sha256:df5d185f12683bd2f4effac6d96f6d60ebf4696b277ae4c0f59abbc5a1672b90 392.5 MiB linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/longhornio/csi-attacher:v4.11.0-20260428                                                                                                application/vnd.oci.image.manifest.v1+json                sha256:8775f03712485023a886f20fc474d6a0f870fafdc95c3e05dd579721d74c4363 90.3 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/longhornio/csi-attacher@sha256:8775f03712485023a886f20fc474d6a0f870fafdc95c3e05dd579721d74c4363                                         application/vnd.oci.image.manifest.v1+json                sha256:8775f03712485023a886f20fc474d6a0f870fafdc95c3e05dd579721d74c4363 90.3 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/longhornio/csi-node-driver-registrar:v2.16.0-20260428                                                                                   application/vnd.oci.image.manifest.v1+json                sha256:a54a0e96da37363a92fbdc22c211fade0662a63d9855e9b6e7d55c0136c26fa8 29.2 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/longhornio/csi-node-driver-registrar@sha256:a54a0e96da37363a92fbdc22c211fade0662a63d9855e9b6e7d55c0136c26fa8                            application/vnd.oci.image.manifest.v1+json                sha256:a54a0e96da37363a92fbdc22c211fade0662a63d9855e9b6e7d55c0136c26fa8 29.2 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/longhornio/csi-provisioner:v5.3.0-20260428                                                                                              application/vnd.oci.image.manifest.v1+json                sha256:07995837776828f8cfd59e03ac94468ed0bc838eda5ab648d8aecd7fb935e1ef 83.5 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
docker.io/longhornio/csi-provisioner@sha256:07995837776828f8cfd59e03ac94468ed0bc838eda5ab648d8aecd7fb935e1ef                                      application/vnd.oci.image.manifest.v1+json                sha256:07995837776828f8cfd59e03ac94468ed0bc838eda5ab648d8aecd7fb935e1ef 83.5 MiB  linux/amd64                                                                  io.cri-containerd.image=managed                                                              
