Jun 12 10:36:01.424977 hp-150-tink-system systemd[1]: Starting Network Manager...
Jun 12 10:36:01.535200 hp-150-tink-system NetworkManager[2120]: <info>  [1781260561.5351] NetworkManager (version 1.52.0) is starting... (boot:13ed5818-7867-498b-a535-7d40c9929077)
Jun 12 10:36:01.535230 hp-150-tink-system NetworkManager[2120]: <info>  [1781260561.5352] Read config: /etc/NetworkManager/NetworkManager.conf, /usr/lib/NetworkManager/conf.d/conncheck-SLE.conf, /run/NetworkManager/conf.d/15-carrier-timeout.conf, /etc/NetworkManager/conf.d/{harvester.conf,rke2-canal.conf}
Jun 12 10:36:01.541875 hp-150-tink-system NetworkManager[2120]: <info>  [1781260561.5418] manager[0x55568fa28c70]: monitoring kernel firmware directory '/lib/firmware'.
Jun 12 10:36:01.671542 hp-150-tink-system NetworkManager[2120]: <info>  [1781260561.6715] hostname: hostname: using hostnamed
Jun 12 10:36:01.671580 hp-150-tink-system NetworkManager[2120]: <info>  [1781260561.6715] hostname: static hostname changed from (none) to "hp-150-tink-system"
Jun 12 10:36:01.672137 hp-150-tink-system NetworkManager[2120]: <info>  [1781260561.6721] dns-mgr: init: dns=default,systemd-resolved rc-manager=symlink (auto)
Jun 12 10:36:01.679517 hp-150-tink-system NetworkManager[2120]: <info>  [1781260561.6795] manager[0x55568fa28c70]: rfkill: Wi-Fi hardware radio set enabled
Jun 12 10:36:01.679538 hp-150-tink-system NetworkManager[2120]: <info>  [1781260561.6795] manager[0x55568fa28c70]: rfkill: WWAN hardware radio set enabled
Jun 12 10:36:01.688949 hp-150-tink-system NetworkManager[2120]: <info>  [1781260561.6889] Loaded device plugin: NMWifiFactory (/usr/lib64/NetworkManager/1.52.0/libnm-device-plugin-wifi.so)
Jun 12 10:36:01.688968 hp-150-tink-system NetworkManager[2120]: <info>  [1781260561.6889] manager: rfkill: Wi-Fi enabled by radio killswitch; enabled by state file
Jun 12 10:36:01.689041 hp-150-tink-system NetworkManager[2120]: <info>  [1781260561.6890] manager: rfkill: WWAN enabled by radio killswitch; enabled by state file
Jun 12 10:36:01.689079 hp-150-tink-system NetworkManager[2120]: <info>  [1781260561.6890] manager: Networking is enabled by state file
Jun 12 10:36:01.689429 hp-150-tink-system NetworkManager[2120]: <info>  [1781260561.6894] settings: Loaded settings plugin: keyfile (internal)
Jun 12 10:36:01.693145 hp-150-tink-system NetworkManager[2120]: <info>  [1781260561.6931] dhcp: init: Using DHCP client 'internal'
Jun 12 10:36:01.693365 hp-150-tink-system NetworkManager[2120]: <info>  [1781260561.6933] manager: (lo): new Loopback device (/org/freedesktop/NetworkManager/Devices/1)
Jun 12 10:36:01.694727 hp-150-tink-system NetworkManager[2120]: <info>  [1781260561.6947] device (lo): state change: unmanaged -> unavailable (reason 'connection-assumed', managed-type: 'external')
Jun 12 10:36:01.695209 hp-150-tink-system NetworkManager[2120]: <info>  [1781260561.6951] device (lo): state change: unavailable -> disconnected (reason 'connection-assumed', managed-type: 'external')
Jun 12 10:36:01.695924 hp-150-tink-system NetworkManager[2120]: <info>  [1781260561.6959] device (lo): Activation: starting connection 'lo' (023c6947-afb3-49f9-8946-cf877c7bad9c)
Jun 12 10:36:01.696904 hp-150-tink-system NetworkManager[2120]: <info>  [1781260561.6968] manager: (eno50): new Ethernet device (/org/freedesktop/NetworkManager/Devices/2)
