Jun 12 10:40:28.705295 hp-69-tink-system systemd[1]: Starting Network Manager...
Jun 12 10:40:28.818561 hp-69-tink-system NetworkManager[2500]: <info>  [1781260828.8184] NetworkManager (version 1.52.0) is starting... (boot:3df1ebdb-8187-4d6e-821d-6c7107c78c98)
Jun 12 10:40:28.818593 hp-69-tink-system NetworkManager[2500]: <info>  [1781260828.8185] Read config: /etc/NetworkManager/NetworkManager.conf, /usr/lib/NetworkManager/conf.d/conncheck-SLE.conf, /run/NetworkManager/conf.d/15-carrier-timeout.conf, /etc/NetworkManager/conf.d/{harvester.conf,rke2-canal.conf}
Jun 12 10:40:28.829392 hp-69-tink-system NetworkManager[2500]: <info>  [1781260828.8293] manager[0x55bf2a4cd480]: monitoring kernel firmware directory '/lib/firmware'.
Jun 12 10:40:29.036906 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.0368] hostname: hostname: using hostnamed
Jun 12 10:40:29.036936 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.0369] hostname: static hostname changed from (none) to "hp-69-tink-system"
Jun 12 10:40:29.037780 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.0377] dns-mgr: init: dns=default,systemd-resolved rc-manager=symlink (auto)
Jun 12 10:40:29.051390 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.0513] manager[0x55bf2a4cd480]: rfkill: Wi-Fi hardware radio set enabled
Jun 12 10:40:29.051428 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.0514] manager[0x55bf2a4cd480]: rfkill: WWAN hardware radio set enabled
Jun 12 10:40:29.063890 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.0638] Loaded device plugin: NMWifiFactory (/usr/lib64/NetworkManager/1.52.0/libnm-device-plugin-wifi.so)
Jun 12 10:40:29.063943 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.0639] manager: rfkill: Wi-Fi enabled by radio killswitch; enabled by state file
Jun 12 10:40:29.064067 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.0640] manager: rfkill: WWAN enabled by radio killswitch; enabled by state file
Jun 12 10:40:29.064136 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.0641] manager: Networking is enabled by state file
Jun 12 10:40:29.064734 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.0647] settings: Loaded settings plugin: keyfile (internal)
Jun 12 10:40:29.071143 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.0710] dhcp: init: Using DHCP client 'internal'
Jun 12 10:40:29.071594 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.0715] manager: (lo): new Loopback device (/org/freedesktop/NetworkManager/Devices/1)
Jun 12 10:40:29.073885 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.0738] device (lo): state change: unmanaged -> unavailable (reason 'connection-assumed', managed-type: 'external')
Jun 12 10:40:29.074810 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.0747] device (lo): state change: unavailable -> disconnected (reason 'connection-assumed', managed-type: 'external')
Jun 12 10:40:29.076036 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.0760] device (lo): Activation: starting connection 'lo' (352e9958-5283-4f62-a914-db0608bfc0c5)
Jun 12 10:40:29.077827 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.0778] manager: (eno50): new Ethernet device (/org/freedesktop/NetworkManager/Devices/2)
Jun 12 10:40:29.078290 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.0782] device (eno50): state change: unmanaged -> unavailable (reason 'managed', managed-type: 'external')
Jun 12 10:40:29.419432 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.4193] manager: (netboot): new Ethernet device (/org/freedesktop/NetworkManager/Devices/3)
Jun 12 10:40:29.420065 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.4200] device (netboot): state change: unmanaged -> unavailable (reason 'managed', managed-type: 'external')
Jun 12 10:40:29.789480 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.7887] manager: (mgmt-bo): new Bond device (/org/freedesktop/NetworkManager/Devices/4)
Jun 12 10:40:29.828246 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.8282] device (mgmt-bo): state change: unmanaged -> unavailable (reason 'managed', managed-type: 'external')
Jun 12 10:40:29.831058 hp-69-tink-system NetworkManager[2500]: <info>  [1781260829.8310] manager: (mgmt-br): new Bridge device (/org/freedesktop/NetworkManager/Devices/5)
